alert_id,created_at,grouping_variant,evaluation_label_is_sar,source_account_key,source_bank,dominant_destination_bank,dominant_currency,dominant_payment_format,typology,pattern_assigned,transaction_count,total_amount,total_amount_usd,max_amount,max_amount_usd,mean_amount,mean_amount_usd,min_amount,min_amount_usd,median_amount,median_amount_usd,std_amount,std_amount_usd,amount_range,amount_range_usd,amount_per_transaction,amount_per_transaction_usd,unique_destination_accounts,unique_destination_banks,repeated_counterparty_ratio,top_counterparty_tx_share,top_counterparty_amount_share,time_span_hours,avg_gap_hours,max_gap_hours,currency_count,has_mixed_currencies,payment_format_count,same_bank_ratio,cross_bank_ratio,round_amount_ratio,night_ratio,weekend_ratio,created_hour,created_day_of_week,ach_ratio,wire_ratio,cash_ratio,cheque_ratio,credit_card_ratio,reinvestment_ratio,bitcoin_ratio
LI-A0000,2022-09-01T00:00:00Z,source_account_24h,1,100:LI-SRC-0,100,300,US Dollar,wire,unknown,0,4,12000.0,12144.0,4800.0,4896.0,3000.0,3036.0,1200.0,1200.0,3000.0,3024.0,1341.640786499874,1368.7892460126943,3600.0,3696.0,3000.0,3036.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0001,2022-09-02T00:00:00Z,source_account_24h,0,101:LI-SRC-0,101,300,US Dollar,ach,unknown,0,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,120.0,120.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0002,2022-09-03T00:00:00Z,source_account_24h,0,102:LI-SRC-0,102,300,US Dollar,ach,unknown,0,1,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,0.0,0.0,0.0,0.0,180.0,180.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0003,2022-09-04T00:00:00Z,source_account_24h,0,103:LI-SRC-1,103,300,US Dollar,ach,unknown,0,1,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,0.0,0.0,240.0,240.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0004,2022-09-05T00:00:00Z,source_account_24h,1,104:LI-SRC-1,104,300,US Dollar,wire,unknown,0,4,60000.0,60720.0,24000.0,24480.0,15000.0,15180.0,6000.0,6000.0,15000.0,15120.0,6708.203932499369,6843.946230063471,18000.0,18480.0,15000.0,15180.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0005,2022-09-06T00:00:00Z,source_account_24h,0,105:LI-SRC-1,105,300,US Dollar,ach,unknown,0,1,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,0.0,0.0,0.0,0.0,360.0,360.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0006,2022-09-07T00:00:00Z,source_account_24h,0,106:LI-SRC-2,106,300,US Dollar,ach,unknown,0,1,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,420.0,420.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0007,2022-09-08T00:00:00Z,source_account_24h,0,100:LI-SRC-2,100,300,US Dollar,ach,unknown,0,1,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0,480.0,480.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0008,2022-09-09T00:00:00Z,source_account_24h,1,101:LI-SRC-2,101,300,US Dollar,wire,unknown,0,4,108000.0,109296.0,43200.0,44064.0,27000.0,27324.0,10800.0,10800.0,27000.0,27216.0,12074.767078498864,12319.103214114248,32400.0,33264.0,27000.0,27324.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0009,2022-09-10T00:00:00Z,source_account_24h,0,102:LI-SRC-3,102,300,US Dollar,ach,unknown,0,1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,600.0,600.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
