alert_id,user_id,amount,segment,country,channel,timestamp_utc,time_gap,num_transactions,typology,source_system,alert_risk_band
ALT38525,USR55564,70.46,smb,US,bank_transfer,2026-02-13T13:31:34Z,86400,1,flow_through,NICE,MEDIUM
ALT92749,USR78072,913.34,smb,US,bank_transfer,2026-02-15T19:40:34Z,86400,1,rapid_velocity,SAS,MEDIUM
ALT80403,USR47109,798.82,private_banking,US,bank_transfer,2026-01-19T15:56:34Z,86400,1,dormant,NICE,MEDIUM
ALT93344,USR27675,1649.87,private_banking,US,bank_transfer,2026-01-28T03:02:34Z,86400,1,cross_border,Oracle FCC,LOW
ALT73318,USR54656,413.95,smb,US,bank_transfer,2026-02-08T07:18:34Z,86400,1,high_amount_outlier,NICE,LOW
ALT39757,USR68304,18555.8,corporate,US,bank_transfer,2026-02-10T16:12:34Z,86400,1,low_buyer_diversity,SAS,MEDIUM
ALT77520,USR68248,1395.36,private_banking,US,bank_transfer,2026-01-21T17:38:34Z,86400,1,dormant,Oracle FCC,LOW
ALT33596,USR68248,1555.14,private_banking,US,bank_transfer,2026-01-26T19:58:34Z,86400,1,bank_alert,NICE,MEDIUM
ALT27821,USR16522,1474.17,corporate,US,bank_transfer,2026-02-02T17:25:34Z,86400,1,structuring,NICE,LOW
ALT45653,USR49778,4936.27,corporate,US,bank_transfer,2026-02-10T06:10:34Z,86400,1,rapid_velocity,Oracle FCC,LOW
ALT96960,USR3726,2601.98,private_banking,US,bank_transfer,2026-01-20T16:04:34Z,86400,1,flow_through,Oracle FCC,LOW
ALT57224,USR50034,2128.19,retail,US,bank_transfer,2026-02-04T07:15:34Z,86400,1,flow_through,Actimize,LOW
ALT38985,USR36390,3307.59,smb,US,bank_transfer,2026-01-26T04:10:34Z,86400,1,rapid_velocity,Oracle FCC,MEDIUM
ALT46719,USR78072,71.03,corporate,US,bank_transfer,2026-01-23T18:30:34Z,86400,1,high_risk_country,NICE,LOW
ALT29830,USR27675,75.17,retail,US,bank_transfer,2026-02-01T17:49:34Z,86400,1,cross_border,SAS,LOW
ALT66215,USR96750,978.39,corporate,US,bank_transfer,2026-01-29T16:49:34Z,86400,1,dormant,SAS,LOW
ALT35691,USR66980,815.25,private_banking,US,bank_transfer,2026-02-05T08:26:34Z,86400,1,smurfing,NICE,LOW
ALT55884,USR68304,2616.82,retail,US,bank_transfer,2026-01-26T19:25:34Z,86400,1,smurfing,SAS,MEDIUM
ALT37611,USR69736,1130.06,private_banking,US,bank_transfer,2026-02-10T23:29:34Z,86400,1,rapid_velocity,FICO,LOW
ALT32750,USR45045,22968.053171781277,smb,US,bank_transfer,2026-01-19T14:58:34Z,86400,1,high_amount_outlier,NICE,HIGH
ALT97052,USR22723,169.29,private_banking,US,bank_transfer,2026-02-12T03:17:34Z,86400,1,smurfing,NICE,LOW
ALT35227,USR74336,1079.1,corporate,US,bank_transfer,2026-01-18T04:12:34Z,86400,1,flow_through,Oracle FCC,LOW
ALT7981,USR67791,146.7,retail,US,bank_transfer,2026-02-08T08:34:34Z,86400,1,dormant,Actimize,LOW
ALT38480,USR51322,1959.19,corporate,US,bank_transfer,2026-01-27T16:11:34Z,86400,1,structuring,SAS,LOW
ALT53681,USR89807,65.53,retail,US,bank_transfer,2026-01-28T18:44:34Z,86400,1,structuring,Oracle FCC,LOW
ALT10369,USR89311,1849.12,retail,US,bank_transfer,2026-01-17T20:26:34Z,86400,1,dormant,FICO,MEDIUM
ALT31262,USR27711,121.09,private_banking,US,bank_transfer,2026-02-07T08:14:34Z,86400,1,smurfing,SAS,LOW
ALT17440,USR44568,616.9,private_banking,US,bank_transfer,2026-01-22T05:53:34Z,86400,1,structuring,SAS,MEDIUM
ALT50563,USR90552,4198.12,retail,US,bank_transfer,2026-02-06T01:19:34Z,86400,1,low_buyer_diversity,SAS,LOW
ALT72587,USR83225,1542.36,smb,US,bank_transfer,2026-02-08T00:51:34Z,86400,1,rapid_velocity,FICO,HIGH
ALT96878,USR79567,92.9,retail,US,bank_transfer,2026-02-11T15:18:34Z,86400,1,high_risk_country,SAS,LOW
ALT39520,USR44340,399.98,smb,US,bank_transfer,2026-02-07T12:33:34Z,86400,1,dormant,NICE,LOW
ALT86461,USR68248,115.35,private_banking,US,bank_transfer,2026-01-26T07:48:34Z,86400,1,high_risk_country,FICO,LOW
ALT22239,USR56449,86.3,retail,US,bank_transfer,2026-02-08T10:30:34Z,86400,1,high_risk_country,NICE,MEDIUM
ALT78268,USR65456,1308.31,corporate,US,bank_transfer,2026-02-11T01:25:34Z,86400,1,flow_through,Actimize,LOW
ALT56704,USR52647,2541.34,private_banking,US,bank_transfer,2026-01-26T19:05:34Z,86400,1,bank_alert,NICE,MEDIUM
ALT76058,USR46955,2123.69,private_banking,US,bank_transfer,2026-01-21T00:08:34Z,86400,1,rapid_velocity,Oracle FCC,MEDIUM
ALT75797,USR43960,2707.93,smb,US,bank_transfer,2026-02-12T23:32:34Z,86400,1,high_amount_outlier,Actimize,MEDIUM
ALT53710,USR83225,1077.21,corporate,US,bank_transfer,2026-01-21T17:15:34Z,86400,1,rapid_velocity,SAS,LOW
ALT26484,USR97561,727.72,smb,US,bank_transfer,2026-02-04T02:17:34Z,86400,1,high_amount_outlier,NICE,LOW
ALT53091,USR4380,219.29,retail,US,bank_transfer,2026-01-24T08:51:34Z,86400,1,low_buyer_diversity,NICE,LOW
ALT82851,USR49778,566.73,retail,US,bank_transfer,2026-01-21T01:28:34Z,86400,1,high_amount_outlier,NICE,LOW
ALT97094,USR74336,151.11,corporate,CY,bank_transfer,2026-02-09T13:45:34Z,86400,1,high_risk_country,FICO,HIGH
ALT92822,USR46955,308.66,corporate,US,bank_transfer,2026-01-21T14:12:34Z,86400,1,flow_through,NICE,LOW
ALT18965,USR97068,1253.12,corporate,US,bank_transfer,2026-02-06T09:17:34Z,86400,1,bank_alert,NICE,LOW
ALT60141,USR19463,919.0,private_banking,US,bank_transfer,2026-02-07T01:45:34Z,86400,1,burst_activity,Actimize,LOW
ALT11354,USR15428,16626.815652344467,corporate,US,bank_transfer,2026-01-19T02:05:34Z,86400,1,burst_activity,NICE,HIGH
ALT67225,USR89807,145.66,smb,US,bank_transfer,2026-01-22T11:15:34Z,86400,1,high_amount_outlier,FICO,LOW
ALT99240,USR66839,909.01,smb,US,bank_transfer,2026-02-10T02:40:34Z,86400,1,flow_through,Actimize,LOW
