alert_id,user_id,amount,segment,country,typology,source_system,timestamp,channel,time_gap,num_transactions
ALT000001,USR00054,8141.397112852204,corporate,GB,flow_through,core_bank,2026-02-23 00:13:47+00:00,bank_transfer,48942.24764777724,6
ALT000002,USR00014,2121.7911515487563,corporate,AE,sanctions,core_bank,2026-02-17 06:18:55+00:00,bank_transfer,49586.26725831446,8
ALT000003,USR00030,12713.90042828455,corporate,AE,structuring,core_bank,2026-03-04 05:08:03+00:00,bank_transfer,40421.321671683676,5
ALT000004,USR00055,15376.024373764509,retail,GB,sanctions,core_bank,2026-03-10 08:41:46+00:00,bank_transfer,45298.59587167987,2
ALT000005,USR00031,853.1751080389352,private_banking,GB,flow_through,core_bank,2026-02-17 04:37:37+00:00,bank_transfer,66073.80387956722,5
ALT000006,USR00010,1632.4226735503473,retail,GB,flow_through,core_bank,2026-03-04 15:35:23+00:00,bank_transfer,69114.97009168894,2
ALT000007,USR00066,6821.53912253584,retail,UNKNOWN,flow_through,core_bank,2026-02-17 02:54:35+00:00,bank_transfer,42674.391861044445,9
ALT000008,USR00067,4375.418308779765,retail,IR,sanctions,core_bank,2026-03-02 19:03:00+00:00,bank_transfer,51924.995315096916,3
ALT000009,USR00011,5902.898866272736,retail,IR,high_amount_outlier,core_bank,2026-03-04 22:58:26+00:00,bank_transfer,80479.43989291777,5
ALT000010,USR00028,2557.936281749365,retail,IR,structuring,core_bank,2026-02-22 18:25:46+00:00,bank_transfer,10609.061969946673,11
ALT000011,USR00024,14463.709164151334,retail,UNKNOWN,high_amount_outlier,core_bank,2026-03-03 09:28:16+00:00,bank_transfer,10382.617023999515,7
ALT000012,USR00065,13066.303396411573,private_banking,US,high_amount_outlier,core_bank,2026-02-17 10:54:11+00:00,bank_transfer,7851.74592551716,6
ALT000013,USR00073,6412.668061529318,private_banking,UNKNOWN,structuring,core_bank,2026-02-11 15:57:06+00:00,bank_transfer,56942.02884198944,6
ALT000014,USR00072,18531.758352291938,retail,US,structuring,core_bank,2026-02-12 04:17:26+00:00,bank_transfer,36342.17469805167,9
ALT000015,USR00093,9580.732622942736,retail,AE,cross_border,core_bank,2026-02-22 16:44:46+00:00,bank_transfer,66969.0739298127,3
ALT000016,USR00076,2542.0027590053305,corporate,RU,cross_border,core_bank,2026-03-08 08:45:46+00:00,bank_transfer,58093.02468586982,8
ALT000017,USR00032,8679.774118335064,private_banking,DE,sanctions,core_bank,2026-02-13 02:44:40+00:00,bank_transfer,29026.210992061307,10
ALT000018,USR00010,2301.042129706773,private_banking,GB,sanctions,core_bank,2026-02-22 23:02:53+00:00,bank_transfer,77649.35972782823,7
ALT000019,USR00061,14450.008782231402,private_banking,GB,cross_border,core_bank,2026-03-02 09:47:32+00:00,bank_transfer,65954.01786278316,5
ALT000020,USR00091,5710.569808565759,corporate,IR,sanctions,core_bank,2026-02-15 08:35:26+00:00,bank_transfer,23593.05841236613,2
ALT000021,USR00097,4989.732781223934,corporate,DE,high_amount_outlier,core_bank,2026-03-02 22:27:10+00:00,bank_transfer,31656.93273017385,3
ALT000022,USR00023,3038.3517370340865,retail,DE,structuring,core_bank,2026-02-18 11:10:40+00:00,bank_transfer,27373.282295587036,11
ALT000023,USR00023,20384.729358727083,private_banking,UNKNOWN,structuring,core_bank,2026-03-05 13:07:29+00:00,bank_transfer,13870.362946612471,6
ALT000024,USR00003,5143.404626815973,private_banking,GB,structuring,core_bank,2026-02-26 15:55:38+00:00,bank_transfer,13024.148375882702,4
ALT000025,USR00014,3911.484223824853,retail,UNKNOWN,sanctions,core_bank,2026-02-25 16:39:44+00:00,bank_transfer,80900.57459665157,5
ALT000026,USR00055,4221.165060068464,private_banking,UNKNOWN,structuring,core_bank,2026-02-14 14:09:56+00:00,bank_transfer,38003.537602812656,7
ALT000027,USR00054,10222.119048406435,retail,RU,high_amount_outlier,core_bank,2026-02-23 04:23:50+00:00,bank_transfer,33303.83674113499,6
ALT000028,USR00037,8651.119939884653,private_banking,GB,structuring,core_bank,2026-03-06 23:39:05+00:00,bank_transfer,63125.93951712224,8
ALT000029,USR00030,9070.045971291825,private_banking,GB,sanctions,core_bank,2026-02-09 20:56:47+00:00,bank_transfer,47912.702918274685,3
ALT000030,USR00082,9235.601313884557,retail,GB,structuring,core_bank,2026-03-04 01:01:23+00:00,bank_transfer,80901.6528667916,8
ALT000031,USR00046,51105.51013813889,corporate,RU,cross_border,core_bank,2026-02-24 01:40:41+00:00,bank_transfer,67483.95862559867,5
ALT000032,USR00080,3998.1418057978526,retail,GB,high_amount_outlier,core_bank,2026-03-02 20:54:08+00:00,bank_transfer,41573.719471122924,11
ALT000033,USR00096,3596.6468898896983,corporate,AE,structuring,core_bank,2026-03-01 04:27:49+00:00,bank_transfer,32704.55066669914,2
ALT000034,USR00031,2660.3880424383437,private_banking,US,structuring,core_bank,2026-02-22 05:59:46+00:00,bank_transfer,85248.97601798413,2
ALT000035,USR00020,11114.206374843829,retail,AE,high_amount_outlier,core_bank,2026-02-18 13:07:46+00:00,bank_transfer,62099.1563199137,6
ALT000036,USR00095,18563.866197849988,corporate,US,flow_through,core_bank,2026-02-28 02:33:05+00:00,bank_transfer,82197.86022633073,6
ALT000037,USR00063,5356.427616189686,private_banking,RU,high_amount_outlier,core_bank,2026-02-13 11:51:02+00:00,bank_transfer,10501.005498387261,8
