alert_id,user_id,amount,segment,country,channel,timestamp_utc,time_gap,num_transactions,typology,source_system,alert_risk_band
ALT38525,USR55564,70.46,smb,US,bank_transfer,2026-03-06T15:04:46Z,86400.0,1,flow_through,NICE,MEDIUM
ALT92749,USR78072,913.34,smb,US,bank_transfer,2026-03-08T21:13:46Z,86400.0,1,rapid_velocity,SAS,MEDIUM
ALT80403,USR47109,798.82,private_banking,US,bank_transfer,2026-02-09T17:29:46Z,86400.0,1,dormant,NICE,MEDIUM
ALT93344,USR27675,1649.87,private_banking,US,bank_transfer,2026-02-18T04:35:46Z,86400.0,1,cross_border,Oracle FCC,LOW
ALT73318,USR54656,413.95,smb,US,bank_transfer,2026-03-01T08:51:46Z,86400.0,1,high_amount_outlier,NICE,LOW
ALT39757,USR68304,18555.8,corporate,US,bank_transfer,2026-03-03T17:45:46Z,86400.0,1,low_buyer_diversity,SAS,MEDIUM
ALT77520,USR68248,1395.36,private_banking,US,bank_transfer,2026-02-11T19:11:46Z,86400.0,1,dormant,Oracle FCC,LOW
ALT33596,USR68248,1555.14,private_banking,US,bank_transfer,2026-02-16T21:31:46Z,86400.0,1,bank_alert,NICE,MEDIUM
ALT27821,USR16522,1474.17,corporate,US,bank_transfer,2026-02-23T18:58:46Z,86400.0,1,structuring,NICE,LOW
ALT45653,USR49778,4936.27,corporate,US,bank_transfer,2026-03-03T07:43:46Z,86400.0,1,rapid_velocity,Oracle FCC,LOW
ALT96960,USR3726,2601.98,private_banking,US,bank_transfer,2026-02-10T17:37:46Z,86400.0,1,flow_through,Oracle FCC,LOW
ALT57224,USR50034,2128.19,retail,US,bank_transfer,2026-02-25T08:48:46Z,86400.0,1,flow_through,Actimize,LOW
ALT38985,USR36390,3307.59,smb,US,bank_transfer,2026-02-16T05:43:46Z,86400.0,1,rapid_velocity,Oracle FCC,MEDIUM
ALT46719,USR78072,71.03,corporate,US,bank_transfer,2026-02-13T20:03:46Z,86400.0,1,high_risk_country,NICE,LOW
ALT29830,USR27675,75.17,retail,US,bank_transfer,2026-02-22T19:22:46Z,86400.0,1,cross_border,SAS,LOW
ALT66215,USR96750,978.39,corporate,US,bank_transfer,2026-02-19T18:22:46Z,86400.0,1,dormant,SAS,LOW
ALT35691,USR66980,815.25,private_banking,US,bank_transfer,2026-02-26T09:59:46Z,86400.0,1,smurfing,NICE,LOW
ALT55884,USR68304,2616.82,retail,US,bank_transfer,2026-02-16T20:58:46Z,86400.0,1,smurfing,SAS,MEDIUM
ALT37611,USR69736,1130.06,private_banking,US,bank_transfer,2026-03-04T01:02:46Z,86400.0,1,rapid_velocity,FICO,LOW
ALT32750,USR45045,22968.05317178128,smb,US,bank_transfer,2026-02-09T16:31:46Z,86400.0,1,high_amount_outlier,NICE,HIGH
ALT97052,USR22723,169.29,private_banking,US,bank_transfer,2026-03-05T04:50:46Z,86400.0,1,smurfing,NICE,LOW
ALT35227,USR74336,1079.1,corporate,US,bank_transfer,2026-02-08T05:45:46Z,86400.0,1,flow_through,Oracle FCC,LOW
ALT7981,USR67791,146.7,retail,US,bank_transfer,2026-03-01T10:07:46Z,86400.0,1,dormant,Actimize,LOW
ALT38480,USR51322,1959.19,corporate,US,bank_transfer,2026-02-17T17:44:46Z,86400.0,1,structuring,SAS,LOW
ALT53681,USR89807,65.53,retail,US,bank_transfer,2026-02-18T20:17:46Z,86400.0,1,structuring,Oracle FCC,LOW
ALT10369,USR89311,1849.12,retail,US,bank_transfer,2026-02-07T21:59:46Z,86400.0,1,dormant,FICO,MEDIUM
ALT31262,USR27711,121.09,private_banking,US,bank_transfer,2026-02-28T09:47:46Z,86400.0,1,smurfing,SAS,LOW
ALT17440,USR44568,616.9,private_banking,US,bank_transfer,2026-02-12T07:26:46Z,86400.0,1,structuring,SAS,MEDIUM
ALT50563,USR90552,4198.12,retail,US,bank_transfer,2026-02-27T02:52:46Z,86400.0,1,low_buyer_diversity,SAS,LOW
ALT72587,USR83225,1542.36,smb,US,bank_transfer,2026-03-01T02:24:46Z,86400.0,1,rapid_velocity,FICO,HIGH
ALT96878,USR79567,92.9,retail,US,bank_transfer,2026-03-04T16:51:46Z,86400.0,1,high_risk_country,SAS,LOW
ALT39520,USR44340,399.98,smb,US,bank_transfer,2026-02-28T14:06:46Z,86400.0,1,dormant,NICE,LOW
ALT86461,USR68248,115.35,private_banking,US,bank_transfer,2026-02-16T09:21:46Z,86400.0,1,high_risk_country,FICO,LOW
ALT22239,USR56449,86.3,retail,US,bank_transfer,2026-03-01T12:03:46Z,86400.0,1,high_risk_country,NICE,MEDIUM
ALT78268,USR65456,1308.31,corporate,US,bank_transfer,2026-03-04T02:58:46Z,86400.0,1,flow_through,Actimize,LOW
ALT56704,USR52647,2541.34,private_banking,US,bank_transfer,2026-02-16T20:38:46Z,86400.0,1,bank_alert,NICE,MEDIUM
ALT76058,USR46955,2123.69,private_banking,US,bank_transfer,2026-02-11T01:41:46Z,86400.0,1,rapid_velocity,Oracle FCC,MEDIUM
ALT75797,USR43960,2707.93,smb,US,bank_transfer,2026-03-06T01:05:46Z,86400.0,1,high_amount_outlier,Actimize,MEDIUM
ALT53710,USR83225,1077.21,corporate,US,bank_transfer,2026-02-11T18:48:46Z,86400.0,1,rapid_velocity,SAS,LOW
ALT26484,USR97561,727.72,smb,US,bank_transfer,2026-02-25T03:50:46Z,86400.0,1,high_amount_outlier,NICE,LOW
ALT53091,USR4380,219.29,retail,US,bank_transfer,2026-02-14T10:24:46Z,86400.0,1,low_buyer_diversity,NICE,LOW
ALT82851,USR49778,566.73,retail,US,bank_transfer,2026-02-11T03:01:46Z,86400.0,1,high_amount_outlier,NICE,LOW
ALT97094,USR74336,151.11,corporate,CY,bank_transfer,2026-03-02T15:18:46Z,86400.0,1,high_risk_country,FICO,HIGH
