alert_id,entity_id,source_system,timestamp_utc,typology,risk_score_source,vendor_metadata,alert_risk_band,rule_name,detection_channel,typology_confidence,user_id,segment,country,direction,amount,sanctions_hit,high_risk_country,repeated_typology,behavioral_baseline_deviation,cross_border,n_hist,peer_segment_percentile,timestamp,_row_index,_errors,_reason
ALT71207,USR78155,Actimize,2026-03-01T19:15:17Z,dormant,73,"{'rule_name': 'AmountSpike', 'alert_age_days': 11, 'detection_channel': 'transaction_monitor'}",MEDIUM,AmountSpike,transaction_monitor,78.4,USR78155,private_banking,US,out,1117.41,False,False,False,0.0,False,9,0.9542885471807748,2026-03-01T19:15:17Z,0,['vendor_metadata must be a dict'],vendor_metadata must be a dict
ALT16207,USR83973,Actimize,2026-02-16T13:04:17Z,smurfing,82,"{'rule_name': 'VelocityThreshold', 'alert_age_days': 5, 'detection_channel': 'network_analytics'}",LOW,VelocityThreshold,network_analytics,68.3,USR83973,smb,US,out,4156.95,False,False,False,0.0,False,0,0.5,2026-02-16T13:04:17Z,1,['vendor_metadata must be a dict'],vendor_metadata must be a dict
ALT24702,USR43301,Oracle FCC,2026-02-20T12:12:17Z,sanctions,63,"{'rule_name': 'DormantReactivate', 'alert_age_days': 6, 'detection_channel': 'surveillance'}",MEDIUM,DormantReactivate,surveillance,63.7,USR43301,private_banking,US,out,3587.15,False,False,False,0.0,False,3,0.5,2026-02-20T12:12:17Z,2,['vendor_metadata must be a dict'],vendor_metadata must be a dict
ALT60482,USR78605,Oracle FCC,2026-02-22T18:09:17Z,burst_activity,33,"{'rule_name': 'SanctionsScreening', 'alert_age_days': 2, 'detection_channel': 'network_analytics'}",LOW,SanctionsScreening,network_analytics,33.8,USR78605,smb,US,out,129.98,False,False,False,0.0,False,0,0.5,2026-02-22T18:09:17Z,3,['vendor_metadata must be a dict'],vendor_metadata must be a dict
ALT67176,USR97068,NICE,2026-03-07T12:12:17Z,burst_activity,31,"{'rule_name': 'PEPMatch', 'alert_age_days': 13, 'detection_channel': 'transaction_monitor'}",LOW,PEPMatch,transaction_monitor,53.7,USR97068,retail,US,out,127.57,False,False,False,0.0,False,0,0.5,2026-03-07T12:12:17Z,4,['vendor_metadata must be a dict'],vendor_metadata must be a dict
ALT12847,USR92675,Actimize,2026-03-04T03:36:17Z,cross_border,51,"{'rule_name': 'CrossBorderFlow', 'alert_age_days': 11, 'detection_channel': 'surveillance'}",HIGH,CrossBorderFlow,surveillance,88.8,USR92675,retail,AE,out,29578.32276387293,False,True,False,0.0,False,0,0.5,2026-03-04T03:36:17Z,5,['vendor_metadata must be a dict'],vendor_metadata must be a dict
ALT51322,USR97561,SAS,2026-02-21T08:54:17Z,structuring,57,"{'rule_name': 'PEPMatch', 'alert_age_days': 8, 'detection_channel': 'network_analytics'}",LOW,PEPMatch,network_analytics,32.1,USR97561,corporate,US,out,224.89,False,False,False,0.0,False,0,0.5,2026-02-21T08:54:17Z,6,['vendor_metadata must be a dict'],vendor_metadata must be a dict
ALT37126,USR69736,Actimize,2026-02-26T06:30:17Z,rapid_velocity,61,"{'rule_name': 'PEPMatch', 'alert_age_days': 8}",HIGH,PEPMatch,transaction_monitor,57.0,USR69736,retail,US,out,3404.58,False,False,False,2.6184082647832496,False,0,0.5,2026-02-26T06:30:17Z,7,['vendor_metadata must be a dict'],vendor_metadata must be a dict
ALT50672,USR9213,Actimize,2026-02-12T18:20:17Z,high_amount_outlier,38,"{'rule_name': 'PEPMatch', 'alert_age_days': 0, 'detection_channel': 'network_analytics'}",HIGH,PEPMatch,network_analytics,94.3,USR9213,smb,US,out,18341.50741894797,False,False,False,0.0,False,0,0.5,2026-02-12T18:20:17Z,8,['vendor_metadata must be a dict'],vendor_metadata must be a dict
ALT95883,USR44568,SAS,2026-03-02T19:48:17Z,cross_border,57,"{'rule_name': 'CrossBorderFlow', 'alert_age_days': 13, 'detection_channel': 'screening'}",MEDIUM,CrossBorderFlow,screening,33.5,USR44568,corporate,US,out,5703.16,False,False,False,0.0,False,7,0.8581630771061848,2026-03-02T19:48:17Z,9,['vendor_metadata must be a dict'],vendor_metadata must be a dict
