alert_id,user_id,amount,segment,country,typology,source_system,timestamp,channel,time_gap,num_transactions
ALT000001,USR00054,8141.397112852204,corporate,GB,flow_through,core_bank,2026-02-21 01:51:17+00:00,bank_transfer,48942.24764777724,6
ALT000002,USR00014,2121.7911515487563,corporate,AE,sanctions,core_bank,2026-02-15 07:56:25+00:00,bank_transfer,49586.26725831446,8
ALT000003,USR00030,12713.90042828455,corporate,AE,structuring,core_bank,2026-03-02 06:45:33+00:00,bank_transfer,40421.321671683676,5
ALT000004,USR00055,15376.024373764509,retail,GB,sanctions,core_bank,2026-03-08 10:19:16+00:00,bank_transfer,45298.59587167987,2
ALT000005,USR00031,853.1751080389352,private_banking,GB,flow_through,core_bank,2026-02-15 06:15:07+00:00,bank_transfer,66073.80387956722,5
ALT000006,USR00010,1632.4226735503473,retail,GB,flow_through,core_bank,2026-03-02 17:12:53+00:00,bank_transfer,69114.97009168894,2
ALT000007,USR00066,6821.53912253584,retail,UNKNOWN,flow_through,core_bank,2026-02-15 04:32:05+00:00,bank_transfer,42674.391861044445,9
ALT000008,USR00067,4375.418308779765,retail,IR,sanctions,core_bank,2026-02-28 20:40:30+00:00,bank_transfer,51924.995315096916,3
ALT000009,USR00011,5902.898866272736,retail,IR,high_amount_outlier,core_bank,2026-03-03 00:35:56+00:00,bank_transfer,80479.43989291777,5
ALT000010,USR00028,2557.936281749365,retail,IR,structuring,core_bank,2026-02-20 20:03:16+00:00,bank_transfer,10609.061969946673,11
ALT000011,USR00024,14463.709164151334,retail,UNKNOWN,high_amount_outlier,core_bank,2026-03-01 11:05:46+00:00,bank_transfer,10382.617023999515,7
ALT000012,USR00065,13066.303396411573,private_banking,US,high_amount_outlier,core_bank,2026-02-15 12:31:41+00:00,bank_transfer,7851.74592551716,6
ALT000013,USR00073,6412.668061529318,private_banking,UNKNOWN,structuring,core_bank,2026-02-09 17:34:36+00:00,bank_transfer,56942.02884198944,6
ALT000014,USR00072,18531.758352291938,retail,US,structuring,core_bank,2026-02-10 05:54:56+00:00,bank_transfer,36342.17469805167,9
ALT000015,USR00093,9580.732622942736,retail,AE,cross_border,core_bank,2026-02-20 18:22:16+00:00,bank_transfer,66969.0739298127,3
ALT000016,USR00076,2542.0027590053305,corporate,RU,cross_border,core_bank,2026-03-06 10:23:16+00:00,bank_transfer,58093.02468586982,8
ALT000017,USR00032,8679.774118335064,private_banking,DE,sanctions,core_bank,2026-02-11 04:22:10+00:00,bank_transfer,29026.210992061307,10
ALT000018,USR00010,2301.042129706773,private_banking,GB,sanctions,core_bank,2026-02-21 00:40:23+00:00,bank_transfer,77649.35972782823,7
ALT000019,USR00061,14450.008782231402,private_banking,GB,cross_border,core_bank,2026-02-28 11:25:02+00:00,bank_transfer,65954.01786278316,5
ALT000020,USR00091,5710.569808565759,corporate,IR,sanctions,core_bank,2026-02-13 10:12:56+00:00,bank_transfer,23593.05841236613,2
ALT000021,USR00097,4989.732781223934,corporate,DE,high_amount_outlier,core_bank,2026-03-01 00:04:40+00:00,bank_transfer,31656.93273017385,3
ALT000022,USR00023,3038.3517370340865,retail,DE,structuring,core_bank,2026-02-16 12:48:10+00:00,bank_transfer,27373.282295587036,11
ALT000023,USR00023,20384.729358727083,private_banking,UNKNOWN,structuring,core_bank,2026-03-03 14:44:59+00:00,bank_transfer,13870.362946612471,6
ALT000024,USR00003,5143.404626815973,private_banking,GB,structuring,core_bank,2026-02-24 17:33:08+00:00,bank_transfer,13024.148375882702,4
ALT000025,USR00014,3911.484223824853,retail,UNKNOWN,sanctions,core_bank,2026-02-23 18:17:14+00:00,bank_transfer,80900.57459665157,5
ALT000026,USR00055,4221.165060068464,private_banking,UNKNOWN,structuring,core_bank,2026-02-12 15:47:26+00:00,bank_transfer,38003.537602812656,7
ALT000027,USR00054,10222.119048406435,retail,RU,high_amount_outlier,core_bank,2026-02-21 06:01:20+00:00,bank_transfer,33303.83674113499,6
ALT000028,USR00037,8651.119939884653,private_banking,GB,structuring,core_bank,2026-03-05 01:16:35+00:00,bank_transfer,63125.93951712224,8
ALT000029,USR00030,9070.045971291825,private_banking,GB,sanctions,core_bank,2026-02-07 22:34:17+00:00,bank_transfer,47912.702918274685,3
ALT000030,USR00082,9235.601313884557,retail,GB,structuring,core_bank,2026-03-02 02:38:53+00:00,bank_transfer,80901.6528667916,8
ALT000031,USR00046,51105.51013813889,corporate,RU,cross_border,core_bank,2026-02-22 03:18:11+00:00,bank_transfer,67483.95862559867,5
ALT000032,USR00080,3998.1418057978526,retail,GB,high_amount_outlier,core_bank,2026-02-28 22:31:38+00:00,bank_transfer,41573.719471122924,11
ALT000033,USR00096,3596.6468898896983,corporate,AE,structuring,core_bank,2026-02-27 06:05:19+00:00,bank_transfer,32704.55066669914,2
ALT000034,USR00031,2660.3880424383437,private_banking,US,structuring,core_bank,2026-02-20 07:37:16+00:00,bank_transfer,85248.97601798413,2
ALT000035,USR00020,11114.206374843829,retail,AE,high_amount_outlier,core_bank,2026-02-16 14:45:16+00:00,bank_transfer,62099.1563199137,6
ALT000036,USR00095,18563.866197849988,corporate,US,flow_through,core_bank,2026-02-26 04:10:35+00:00,bank_transfer,82197.86022633073,6
ALT000037,USR00063,5356.427616189686,private_banking,RU,high_amount_outlier,core_bank,2026-02-11 13:28:32+00:00,bank_transfer,10501.005498387261,8
ALT000038,USR00029,2591.114893900981,retail,US,flow_through,core_bank,2026-02-24 21:03:52+00:00,bank_transfer,73530.94977832638,5
ALT000039,USR00062,2632.0513030848633,retail,GB,flow_through,core_bank,2026-02-10 04:41:39+00:00,bank_transfer,55152.06141164297,11
ALT000040,USR00051,11505.641828414115,corporate,GB,sanctions,core_bank,2026-02-26 20:24:13+00:00,bank_transfer,10797.456504653193,6
ALT000041,USR00090,12622.726657582241,corporate,IR,high_amount_outlier,core_bank,2026-02-26 05:12:38+00:00,bank_transfer,50949.0137973499,2
ALT000042,USR00025,10333.582095889822,corporate,US,structuring,core_bank,2026-02-09 21:18:50+00:00,bank_transfer,59372.89703557914,2
ALT000043,USR00099,3085.5657062683968,retail,AE,sanctions,core_bank,2026-03-02 01:54:19+00:00,bank_transfer,1359.2612550087044,11
ALT000044,USR00093,7571.612404824832,private_banking,RU,sanctions,core_bank,2026-02-19 19:53:43+00:00,bank_transfer,39416.776514574376,2
ALT000045,USR00018,6745.870434324318,corporate,AE,flow_through,core_bank,2026-03-02 23:04:20+00:00,bank_transfer,71366.89791400325,11
ALT000046,USR00016,7470.286245442284,retail,RU,flow_through,core_bank,2026-02-08 14:28:34+00:00,bank_transfer,25730.41208212614,4
ALT000047,USR00053,14348.903081438586,private_banking,IR,sanctions,core_bank,2026-02-12 17:43:22+00:00,bank_transfer,39780.98984285525,2
ALT000048,USR00004,7507.03266454207,private_banking,DE,high_amount_outlier,core_bank,2026-02-22 04:11:15+00:00,bank_transfer,38383.24634054561,4
ALT000049,USR00029,11836.148537427065,corporate,IR,structuring,core_bank,2026-02-13 00:02:10+00:00,bank_transfer,26295.948403198527,7
ALT000050,USR00043,6422.604947749859,retail,DE,flow_through,core_bank,2026-02-17 06:00:51+00:00,bank_transfer,79377.84720388922,5
ALT000051,USR00096,8015.39541892898,corporate,UNKNOWN,sanctions,core_bank,2026-02-27 04:08:43+00:00,bank_transfer,67569.41645065352,9
ALT000052,USR00099,11285.660604717792,corporate,AE,sanctions,core_bank,2026-02-11 16:34:17+00:00,bank_transfer,9821.662186765114,7
ALT000053,USR00015,1398.0646692718103,retail,IR,high_amount_outlier,core_bank,2026-02-27 16:27:37+00:00,bank_transfer,86144.68403981504,5
ALT000054,USR00089,4360.442332662681,corporate,UNKNOWN,high_amount_outlier,core_bank,2026-02-10 10:57:51+00:00,bank_transfer,75999.12209289687,7
ALT000055,USR00009,3750.435875615014,private_banking,IR,cross_border,core_bank,2026-02-12 14:38:50+00:00,bank_transfer,24744.516500093756,11
ALT000056,USR00074,3168.8440638929997,retail,IR,structuring,core_bank,2026-02-24 23:37:05+00:00,bank_transfer,72356.79550880678,5
ALT000057,USR00084,4558.996209466039,private_banking,AE,cross_border,core_bank,2026-03-03 03:49:19+00:00,bank_transfer,9462.721694126065,2
ALT000058,USR00089,26767.434880157933,retail,US,high_amount_outlier,core_bank,2026-02-12 11:20:27+00:00,bank_transfer,86322.91729383195,5
ALT000059,USR00022,2525.435707646155,private_banking,AE,cross_border,core_bank,2026-02-16 08:30:32+00:00,bank_transfer,57615.455778772826,10
ALT000060,USR00089,15808.109622597463,corporate,GB,structuring,core_bank,2026-03-07 02:36:02+00:00,bank_transfer,56275.76383961242,3
ALT000061,USR00011,1115.580558196399,retail,UNKNOWN,sanctions,core_bank,2026-03-09 01:05:11+00:00,bank_transfer,8086.94659333383,11
ALT000062,USR00051,4294.605460506598,private_banking,GB,high_amount_outlier,core_bank,2026-02-24 18:52:41+00:00,bank_transfer,77534.57564499944,7
ALT000063,USR00046,7063.903385069736,retail,GB,sanctions,core_bank,2026-02-20 18:22:53+00:00,bank_transfer,2796.8572259048174,7
ALT000064,USR00031,10788.352202660273,corporate,GB,flow_through,core_bank,2026-02-17 18:15:37+00:00,bank_transfer,21035.295797342762,4
ALT000065,USR00002,12224.856545965271,retail,RU,flow_through,core_bank,2026-02-25 17:28:46+00:00,bank_transfer,12614.183451847273,11
ALT000066,USR00077,13271.142700680686,private_banking,AE,cross_border,core_bank,2026-02-25 01:58:23+00:00,bank_transfer,67179.71969360001,1
ALT000067,USR00033,4235.577357369972,private_banking,UNKNOWN,flow_through,core_bank,2026-02-16 04:44:10+00:00,bank_transfer,17365.38396303051,4
ALT000068,USR00066,3780.6385666998176,private_banking,DE,high_amount_outlier,core_bank,2026-02-08 00:55:58+00:00,bank_transfer,78705.95135596923,5
ALT000069,USR00041,14157.161402932688,corporate,GB,high_amount_outlier,core_bank,2026-02-11 21:35:34+00:00,bank_transfer,56804.7642860969,6
ALT000070,USR00037,4957.692427730865,corporate,US,cross_border,core_bank,2026-03-08 02:40:36+00:00,bank_transfer,3413.609373593344,6
ALT000071,USR00088,1676.2487295139306,corporate,US,high_amount_outlier,core_bank,2026-02-19 21:35:08+00:00,bank_transfer,767.5087184811098,2
ALT000072,USR00009,1932.776377957592,private_banking,DE,high_amount_outlier,core_bank,2026-02-21 19:46:21+00:00,bank_transfer,4747.746654939748,3
ALT000073,USR00073,2393.5854618401054,private_banking,UNKNOWN,sanctions,core_bank,2026-02-21 08:49:53+00:00,bank_transfer,52470.15779546936,2
ALT000074,USR00074,9869.068430716292,retail,AE,cross_border,core_bank,2026-03-02 20:05:00+00:00,bank_transfer,69307.58391499566,7
ALT000075,USR00037,6921.7626616696225,corporate,UNKNOWN,sanctions,core_bank,2026-02-09 07:16:58+00:00,bank_transfer,20839.397856018146,4
ALT000076,USR00026,11973.909507824437,retail,US,flow_through,core_bank,2026-02-09 20:04:47+00:00,bank_transfer,73434.10137567658,7
ALT000077,USR00000,3915.6920187626793,retail,US,high_amount_outlier,core_bank,2026-02-15 15:07:27+00:00,bank_transfer,5227.670047195719,7
ALT000078,USR00093,7034.203131085949,private_banking,IR,cross_border,core_bank,2026-02-21 22:54:29+00:00,bank_transfer,69262.98779854832,8
ALT000079,USR00094,11221.539656702567,retail,US,flow_through,core_bank,2026-02-27 11:43:24+00:00,bank_transfer,80183.18653783335,7
ALT000080,USR00024,4405.695700943031,private_banking,US,flow_through,core_bank,2026-02-22 01:49:23+00:00,bank_transfer,66778.53316288716,8
ALT000081,USR00003,9478.442017119845,corporate,DE,cross_border,core_bank,2026-02-20 14:09:18+00:00,bank_transfer,60408.199500560666,7
ALT000082,USR00012,3096.643490660829,retail,UNKNOWN,flow_through,core_bank,2026-03-07 11:44:57+00:00,bank_transfer,72450.09682622849,8
ALT000083,USR00006,4175.319467148176,corporate,RU,sanctions,core_bank,2026-02-12 04:26:52+00:00,bank_transfer,3757.026891002419,7
ALT000084,USR00083,4098.031871101112,corporate,US,sanctions,core_bank,2026-02-24 12:09:30+00:00,bank_transfer,17673.43973291067,4
ALT000085,USR00089,1815.5801807074713,private_banking,IR,sanctions,core_bank,2026-02-23 14:55:49+00:00,bank_transfer,11055.92878821587,3
ALT000086,USR00015,9769.030236397539,corporate,IR,high_amount_outlier,core_bank,2026-02-21 13:25:35+00:00,bank_transfer,43740.11825561614,9
ALT000087,USR00074,3754.076742495592,private_banking,IR,flow_through,core_bank,2026-03-03 13:59:03+00:00,bank_transfer,64460.697849113516,4
ALT000088,USR00017,6078.383808952993,private_banking,UNKNOWN,high_amount_outlier,core_bank,2026-02-15 08:44:11+00:00,bank_transfer,54544.019818027926,7
ALT000089,USR00036,9708.398929909186,private_banking,GB,flow_through,core_bank,2026-03-07 23:13:50+00:00,bank_transfer,73582.3876895026,3
ALT000090,USR00059,9381.839917627669,corporate,UNKNOWN,flow_through,core_bank,2026-02-17 07:14:37+00:00,bank_transfer,13663.838649177926,5
ALT000091,USR00071,11677.101997838572,retail,DE,cross_border,core_bank,2026-02-23 16:55:02+00:00,bank_transfer,63550.87601561741,6
ALT000092,USR00087,5439.892156553766,corporate,IR,structuring,core_bank,2026-02-22 23:23:53+00:00,bank_transfer,16920.872363812643,7
ALT000093,USR00004,3931.2066287515163,retail,RU,high_amount_outlier,core_bank,2026-03-04 20:21:15+00:00,bank_transfer,23612.3284884626,6
ALT000094,USR00019,5542.948115954671,corporate,IR,sanctions,core_bank,2026-02-20 12:31:49+00:00,bank_transfer,61422.79443592027,4
ALT000095,USR00028,1110.6109697107688,private_banking,RU,cross_border,core_bank,2026-02-15 21:23:47+00:00,bank_transfer,84695.6319797765,11
ALT000096,USR00031,1412.1766656985499,corporate,RU,cross_border,core_bank,2026-02-08 00:04:29+00:00,bank_transfer,52953.90447462569,6
ALT000097,USR00099,1599.2665352355555,retail,RU,sanctions,core_bank,2026-02-18 06:21:45+00:00,bank_transfer,4992.477120750551,9
ALT000098,USR00077,2214.4363319038566,corporate,IR,high_amount_outlier,core_bank,2026-03-04 03:26:39+00:00,bank_transfer,53364.20231076058,9
ALT000099,USR00032,8953.271065930716,private_banking,IR,cross_border,core_bank,2026-02-07 15:39:13+00:00,bank_transfer,3946.3824910523867,7
ALT000100,USR00097,2427.2663509569334,private_banking,US,cross_border,core_bank,2026-03-06 05:44:59+00:00,bank_transfer,76424.94574868296,10
